keyword_id,wine_id,group_name,keyword_type,count
242,82698,earth,primary,73
284,82698,earth,primary,46
156,82698,earth,primary,28
22,82698,earth,primary,23
384,82698,earth,primary,21
430,82698,earth,primary,16
165,82698,earth,primary,12
412,82698,earth,primary,10
276,82698,earth,primary,9
178,82698,earth,primary,7
192,82698,earth,primary,5
113,82698,earth,primary,3
14,82698,earth,primary,3
160,82698,earth,primary,2
376,82698,earth,primary,2
398,82698,earth,primary,2
218,82698,earth,primary,2
431,82698,earth,primary,2
226,82698,earth,primary,1
85,82698,earth,primary,1
47,82698,earth,primary,1
111,82698,earth,primary,1
377,82698,earth,primary,1
443,82698,earth,primary,1
465,82698,earth,primary,1
422,82698,earth,secondary,57
381,82698,earth,secondary,8
134,82698,earth,secondary,5
280,82698,earth,secondary,1
6,82698,earth,secondary,1
267,82698,earth,secondary,1
422,82698,oak,primary,57
292,82698,oak,primary,31
117,82698,oak,primary,15
101,82698,oak,primary,13
83,82698,oak,primary,13
434,82698,oak,primary,11
104,82698,oak,primary,8
112,82698,oak,primary,8
290,82698,oak,primary,6
134,82698,oak,primary,5
79,82698,oak,primary,4
103,82698,oak,primary,3
223,82698,oak,primary,2
424,82698,oak,primary,2
118,82698,oak,primary,2
158,82698,oak,primary,1
407,82698,oak,primary,1
280,82698,oak,primary,1
242,82698,oak,secondary,73
384,82698,oak,secondary,21
105,82698,oak,secondary,7
14,82698,oak,secondary,3
113,82698,oak,secondary,3
6,82698,oak,secondary,1
267,82698,oak,secondary,1
213,82698,oak,secondary,1
65,82698,oak,secondary,1
62,82698,oak,secondary,1
93,82698,red_fruit,primary,58
354,82698,red_fruit,primary,27
400,82698,red_fruit,primary,17
348,82698,red_fruit,primary,15
352,82698,red_fruit,primary,8
387,82698,red_fruit,primary,7
122,82698,red_fruit,primary,6
357,82698,red_fruit,primary,3
336,82698,red_fruit,primary,3
154,82698,red_fruit,primary,2
452,82698,red_fruit,primary,1
361,82698,red_fruit,primary,1
263,82698,red_fruit,primary,1
353,82698,red_fruit,primary,1
229,82698,red_fruit,secondary,9
38,82698,red_fruit,secondary,6
417,82698,non_oak,primary,2
291,82698,non_oak,primary,1
6,82698,non_oak,primary,1
281,82698,non_oak,primary,1
267,82698,non_oak,primary,1
262,82698,non_oak,primary,1
363,82698,non_oak,primary,1
213,82698,non_oak,primary,1
65,82698,non_oak,primary,1
62,82698,non_oak,primary,1
438,82698,non_oak,primary,1
422,82698,non_oak,secondary,57
384,82698,non_oak,secondary,21
117,82698,non_oak,secondary,15
83,82698,non_oak,secondary,13
434,82698,non_oak,secondary,11
112,82698,non_oak,secondary,8
105,82698,non_oak,secondary,7
290,82698,non_oak,secondary,6
79,82698,non_oak,secondary,4
163,82698,non_oak,secondary,3
223,82698,non_oak,secondary,2
118,82698,non_oak,secondary,2
407,82698,non_oak,secondary,1
158,82698,non_oak,secondary,1
280,82698,non_oak,secondary,1
249,82698,spices,primary,23
320,82698,spices,primary,10
277,82698,spices,primary,9
381,82698,spices,primary,8
416,82698,spices,primary,7
105,82698,spices,primary,7
148,82698,spices,primary,4
273,82698,spices,primary,4
159,82698,spices,primary,3
375,82698,spices,primary,3
449,82698,spices,primary,2
303,82698,spices,primary,2
153,82698,spices,primary,1
373,82698,spices,primary,1
7,82698,spices,primary,1
434,82698,spices,secondary,11
112,82698,spices,secondary,8
290,82698,spices,secondary,6
334,82698,black_fruit,primary,23
52,82698,black_fruit,primary,10
229,82698,black_fruit,primary,9
49,82698,black_fruit,primary,7
135,82698,black_fruit,primary,6
38,82698,black_fruit,primary,6
39,82698,black_fruit,primary,3
55,82698,black_fruit,primary,3
31,82698,black_fruit,primary,1
470,82698,black_fruit,primary,1
41,82698,black_fruit,primary,1
341,82698,black_fruit,secondary,8
123,82698,microbio,primary,3
295,82698,microbio,primary,1
284,82698,microbio,secondary,46
430,82698,microbio,secondary,16
424,82698,microbio,secondary,2
417,82698,microbio,secondary,2
6,82698,microbio,secondary,1
298,82698,citrus_fruit,primary,16
300,82698,citrus_fruit,primary,5
302,82698,citrus_fruit,primary,3
301,82698,citrus_fruit,primary,2
243,82698,citrus_fruit,primary,2
54,82698,citrus_fruit,primary,1
152,82698,floral,primary,10
436,82698,floral,primary,5
371,82698,floral,primary,5
338,82698,floral,primary,3
322,82698,floral,primary,1
225,82698,floral,primary,1
146,82698,floral,primary,1
157,82698,floral,primary,1
241,82698,floral,primary,1
381,82698,floral,secondary,8
341,82698,dried_fruit,primary,8
163,82698,dried_fruit,primary,3
347,82698,dried_fruit,primary,3
147,82698,dried_fruit,primary,1
144,82698,dried_fruit,primary,1
229,82698,dried_fruit,secondary,9
154,82698,dried_fruit,secondary,2
212,82698,vegetal,primary,4
425,82698,vegetal,primary,4
185,82698,vegetal,primary,1
426,82698,vegetal,primary,1
381,82698,vegetal,secondary,8
6,82698,vegetal,secondary,1
310,82698,tree_fruit,primary,1
19,82698,tree_fruit,primary,1
218,96337,earth,primary,21
276,96337,earth,primary,1
398,96337,earth,primary,1
219,96337,earth,primary,1
181,96337,earth,primary,1
381,96337,earth,secondary,1
6,96337,earth,secondary,1
267,96337,earth,secondary,1
79,96337,oak,primary,4
424,96337,oak,primary,3
292,96337,oak,primary,3
434,96337,oak,primary,1
101,96337,oak,primary,1
290,96337,oak,primary,1
177,96337,oak,primary,1
70,96337,oak,primary,1
62,96337,oak,secondary,1
105,96337,oak,secondary,1
6,96337,oak,secondary,1
267,96337,oak,secondary,1
435,96337,oak,secondary,1
11,96337,tree_fruit,primary,12
310,96337,tree_fruit,primary,7
9,96337,tree_fruit,primary,2
298,96337,citrus_fruit,primary,6
266,96337,citrus_fruit,primary,5
106,96337,citrus_fruit,primary,3
301,96337,citrus_fruit,primary,1
190,96337,citrus_fruit,primary,1
417,96337,non_oak,primary,2
62,96337,non_oak,primary,1
6,96337,non_oak,primary,1
267,96337,non_oak,primary,1
