id,name,country_code
20165,Vivino's 2016 Wine Style Awards: Italian Barbaresco,global
20167,Vivino's 2016 Wine Style Awards: Italian Barolo,global
20169,Vivino's 2016 Wine Style Awards: Italian Bolgheri,global
20173,Vivino's 2017 Wine Style Awards: Italian Amarone,global
20177,Vivino's 2017 Wine Style Awards: Italian Barolo,global
20179,Vivino's 2017 Wine Style Awards: Italian Bolgheri,global
20183,Vivino's 2018 Wine Style Awards: Italian Amarone,global
20185,Vivino's 2018 Wine Style Awards: Italian Barbaresco,global
20187,Vivino's 2018 Wine Style Awards: Italian Barolo,global
20189,Vivino's 2018 Wine Style Awards: Italian Bolgheri,global
20195,Vivino's 2019 Wine Style Awards: Italian Barbaresco,global
20197,Vivino's 2019 Wine Style Awards: Italian Barolo,global
20199,Vivino's 2019 Wine Style Awards: Italian Bolgheri,global
20203,Vivino's 2020 Wine Style Awards: Italian Amarone,global
20205,Vivino's 2020 Wine Style Awards: Italian Barbaresco,global
20207,Vivino's 2020 Wine Style Awards: Italian Barolo,global
20209,Vivino's 2020 Wine Style Awards: Italian Bolgheri,global
201622,Vivino's 2016 Wine Style Awards: Italian Brunello,global
201647,Vivino's 2016 Wine Style Awards: Central Italy Red,global
201650,Vivino's 2016 Wine Style Awards: French Champagne,global
201696,Vivino's 2016 Wine Style Awards: Languedoc-Roussillon White,global
201716,Vivino's 2017 Wine Style Awards: South African Bordeaux Blend,global
201722,Vivino's 2017 Wine Style Awards: Italian Brunello,global
201723,Vivino's 2017 Wine Style Awards: Burgundy Red,global
201747,Vivino's 2017 Wine Style Awards: Central Italy Red,global
201750,Vivino's 2017 Wine Style Awards: French Champagne,global
201816,Vivino's 2018 Wine Style Awards: South African Bordeaux Blend,global
201822,Vivino's 2018 Wine Style Awards: Italian Brunello,global
201850,Vivino's 2018 Wine Style Awards: French Champagne,global
201916,Vivino's 2019 Wine Style Awards: South African Bordeaux Blend,global
201922,Vivino's 2019 Wine Style Awards: Italian Brunello,global
201950,Vivino's 2019 Wine Style Awards: French Champagne Vintage,global
202050,Vivino's 2020 Wine Style Awards: French Champagne Vintage,global
202094,Vivino's 2020 Wine Style Awards: Languedoc-Roussillon Red,global
202096,Vivino's 2020 Wine Style Awards: Languedoc-Roussillon White,global
202098,Vivino's 2020 Wine Style Awards: Argentinian Malbec,global
2016130,Vivino's 2016 Wine Style Awards: Northern Italy Red,global
2016131,Vivino's 2016 Wine Style Awards: Northern Italy White,global
2016212,Vivino's 2016 Wine Style Awards: Southern Rhône Red,global
2016236,Vivino's 2016 Wine Style Awards: Italian Valpolicella Red,global
2016262,Vivino's 2016 Wine Style Awards: Bordeaux Médoc,global
2017122,Vivino's 2017 Wine Style Awards: Italian Montepulciano d'Abruzzo,global
2017212,Vivino's 2017 Wine Style Awards: Southern Rhône Red,global
2017236,Vivino's 2017 Wine Style Awards: Italian Valpolicella Red,global
2017264,Vivino's 2017 Wine Style Awards: Bordeaux Pauillac,global
2017267,Vivino's 2017 Wine Style Awards: Bordeaux Pomerol,global
2017999,top_lists.EditorialTopList.2017999.name,global
2018128,Vivino's 2018 Wine Style Awards: Italian Nebbiolo,global
2018195,Vivino's 2018 Wine Style Awards: Bordeaux Sauternes,global
2018206,Vivino's 2018 Wine Style Awards: Spanish Sherry,global
2018236,Vivino's 2018 Wine Style Awards: Italian Valpolicella Red,global
2018264,Vivino's 2018 Wine Style Awards: Bordeaux Pauillac,global
2018266,Vivino's 2018 Wine Style Awards: Bordeaux Saint-Émilion,global
2018292,Vivino's 2018 Wine Style Awards: Tuscan Red,global
