id,top_list_id,vintage_id,rank,previous_rank
1,201650,1161459,7,7.0
2,201850,1161459,3,3.0
3,201950,1161459,3,3.0
4,202050,1161459,1,1.0
5,2019264,93707,2,2.0
6,2020264,93707,2,2.0
7,2018264,2641965,2,2.0
8,2020292,6880159,1,1.0
9,201647,6988511,1,1.0
10,2019292,6988511,2,2.0
11,201650,1688597,6,6.0
12,2019289,14187320,1,1.0
13,2018264,1347152,5,5.0
14,2019264,1347152,6,6.0
15,201647,1316676,5,5.0
16,2019292,1316676,3,3.0
17,2020292,1316676,2,2.0
18,20169,1418050,2,2.0
19,20199,1411331,1,1.0
20,20209,1411331,2,2.0
21,20173,1292680,2,2.0
22,201850,1411312,7,7.0
23,202050,1411312,3,3.0
24,2016262,2765008,4,4.0
25,201647,752644,2,2.0
26,201747,752644,3,3.0
27,201747,6457741,1,1.0
28,20203,1152340,2,2.0
29,201750,1527879,3,3.0
30,2017264,3887212,3,3.0
31,2019301,105812,3,3.0
32,2020301,105812,1,1.0
33,2018292,7372117,1,1.0
34,2016212,1602232,1,1.0
35,2017212,1602232,1,1.0
36,201950,90829,5,5.0
37,202050,90829,5,5.0
38,2019263,1409704,1,1.0
39,20165,1209030,1,1.0
40,2018301,1738719,1,1.0
41,20183,108888,4,4.0
42,2019130,5887447,4,4.0
43,2020130,5887447,3,3.0
44,201722,4505060,2,2.0
45,201822,4505060,3,3.0
46,2020180,14284207,3,3.0
47,2020999,164942599,6,6.0
48,2020292,85559438,10,10.0
49,2017999,1485238,6,6.0
50,2019999,1485238,5,5.0
51,2020999,1485238,7,7.0
52,20179,2645641,4,4.0
53,2711045,152069724,15,10.0
54,5204744,152069724,2,9.0
55,201696,1597812,1,1.0
56,201747,6413907,8,8.0
57,2018292,6413907,3,3.0
58,2019292,6413907,6,6.0
59,20185,1215922,1,1.0
60,2019265,1745897,2,2.0
61,2020265,1745897,1,1.0
62,2019263,1687138,2,2.0
63,2020263,1687138,2,2.0
64,202098,20315417,6,6.0
65,2020292,2692143,5,5.0
66,201822,10762842,5,5.0
67,2019267,1192712,4,4.0
68,2020267,1192712,3,3.0
69,2018128,72274,1,1.0
70,20187,1543251,4,4.0
71,20197,1543251,2,2.0
72,20207,1543251,3,3.0
73,20197,5128110,9,9.0
74,2019292,17274641,10,10.0
75,2020292,17274641,8,8.0
76,20189,1369680,2,2.0
77,2020402,1776981,1,1.0
78,201650,2674920,10,10.0
79,2019267,1313679,2,2.0
80,2020267,1313679,5,5.0
81,201922,12776766,8,8.0
82,2020290,25043149,9,9.0
83,201647,3494838,6,6.0
84,2016131,5818464,1,1.0
85,2020267,1362347,8,8.0
86,202098,152326341,5,5.0
87,201822,1281955,6,6.0
88,2074986,150263185,5,12.0
89,4203674,150263185,14,14.0
90,6693819,150263185,6,5.0
91,2017999,1554466,9,9.0
92,2019999,1554466,10,10.0
93,2508363,164943169,5,9.0
94,3008569,164943169,15,13.0
95,5204110,164943169,10,3.0
96,2074985,159927462,8,14.0
97,6435577,162964134,1,11.0
98,6955558,162964134,9,3.0
99,7005853,162964134,6,10.0
100,2018236,2038565,3,3.0
101,2018292,1186199,4,4.0
102,202094,4488574,1,1.0
103,6071923,162906889,5,
104,13711050,162906889,15,3.0
105,5217406,160025063,12,6.0
106,2550416,3443678,3,8.0
107,201622,10343,4,4.0
108,2019999,6618225,9,9.0
109,2016236,108891,1,1.0
110,2017236,108891,2,2.0
111,2016130,1780187,4,4.0
112,20167,3325624,2,2.0
113,20177,3325624,4,4.0
114,20187,3325624,8,8.0
115,201822,2320030,10,10.0
116,2018292,1351130,5,5.0
117,2017267,1254404,4,4.0
118,20187,1408644,5,5.0
119,20209,1289668,4,4.0
120,2019285,24452999,1,1.0
121,20167,1206818,3,3.0
122,20167,85958,9,9.0
123,20177,85958,8,8.0
124,20187,85958,9,9.0
125,20207,85958,7,7.0
126,20197,1309773,5,5.0
127,2018292,1242165,7,7.0
128,2019181,2132704,1,1.0
129,20205,145183260,4,4.0
130,2020225,28546280,6,6.0
131,6435473,159346373,5,5.0
132,202096,145417624,1,1.0
133,8919175,1469472,6,12.0
134,2711045,164942610,16,
135,4203674,85237909,20,1.0
