id,name
1213,Vin Santo di Montepulciano
1268,St. Henri Shiraz
1471,Siepi
1647,Solare Toscana
1651,Tenuta Tignanello 'Solaia'
1652,Tignanello
1658,Tenuta Guado al Tasso Bolgheri Superiore
1675,Pian delle Vigne Brunello di Montalcino
1688,Castello della Sala Cervaro della Sala
1690,Castello della Sala Muffato della Sala
1697,Chardonnay
1835,Amarone della Valpolicella Classico
1868,Nicolás Catena Zapata
1869,Malbec Argentino
2187,Alàuda
2218,Rioja 150 Aniversario
2997,Puligny-Montrachet 1er Cru 'La Garenne'
3715,Monte Bello
3879,Cabernet Sauvignon (Signature)
3882,Merlot (Signature)
3908,Pauillac (Premier Grand Cru Classé)
4086,Almaviva
4793,Mille E Una Notte
4848,Overture
5078,Sassicaia
5194,Rutherford
5261,Chateau Buena Vista Cabernet Sauvignon Napa Valley
5278,Relentless
6020,Pavillon Rouge du Château Margaux
6153,Aphrodite
6892,Les Pavots
6935,Toscana Batar
6942,Toscana Camartina
7073,Papillon
7103,Amarone della Valpolicella Classico
7133,Barolo Bricco Rocche
7134,Barolo Prapò
7135,Barolo Brunate
7273,Corton-Charlemagne Grand Cru
7360,Romanée-Saint-Vivant Grand Cru Les Quatre Journaux
7494,Torre Muga
7921,Gran Reserva Ribera del Duero
7971,Gran Reserva 890
8023,IX Estate Red
8162,Lot 1
8195,Amarone della Valpolicella Classico
8305,Brut Cuvée Champagne Rosé
8793,Barolo Bricco Gattera
8794,Barolo Enrico VI
9220,Grand Vin de Château Palmer (Grand Cru Classé)
9710,Brunello di Montalcino
9711,Pietradonice
9712,Tenuta Nuova Brunello di Montalcino
9958,Dominus (Christian Moueix)
10021,La Muse
10022,La Joie
10023,Le Désir
10151,Brunello di Montalcino
10152,Altero Brunello di Montalcino
10154,Brunello di Montalcino Riserva
10175,Saint-Émilion Grand Cru (Premier Grand Cru Classé)
10196,The Stork
10922,Hermitage La Chapelle Rouge
11001,Castillo Ygay Gran Reserva Especial Tinto
11038,Puligny-Montrachet Enseignères
11604,Malleolus
11607,Malleolus de Sanchomartin
11665,Capitel Monte Olmi Amarone della Valpolicella Classico Riserva
11733,Toscana I Sodi di San Niccolo
11890,60 Sessantanni Old Vines Primitivo di Manduria
12008,Falletto Barolo
12085,Campo dei Gigli Amarone della Valpolicella
12262,Ribera del Duero Prestigio
12263,Ribera del Duero Reserva
12393,Amarone della Valpolicella Classico
13759,Clos Apalta
13904,Barolo Rocche
13969,Montepulciano d'Abruzzo
13978,Brunello di Montalcino Riserva
14362,Pauillac (Grand Cru Classé)
14513,Saint-Emilion Grand Cru (Premier Grand Cru Classé)
14604,Les Bessards Hermitage
14882,Félix Callejo (Viñedos de la Familia)
15149,Bricco dell'Uccellone Barbera d'Asti
15182,Vürsù Barbaresco Starderi
15184,Vürsù Barbaresco Valeirano
15617,Blanc de Blancs Brut Champagne Grand Cru
16220,Series C
16221,Series M
16414,Paleo Rosso
16418,Messorio
16419,Scrio
16504,Malbec
16527,Montrachet Grand Cru Blanc
16529,Musigny Grand Cru
16541,Clos Saint Denis Grand Cru
16578,Cabernet Sauvignon
16587,Insignia
16637,Barolo Sorì Ginestra
16639,Barolo Ginestra Vigna del Gris
16778,Saint-Émilion Grand Cru (Premier Grand Cru Classé)
16786,Barsac (Premier Grand Cru Classé)
16833,Galatrona
17474,Brunello di Montalcino
17656,Pessac-Léognan (Grand Cru Classé de Graves)
17943,Chloe Chardonnay
17948,Finn Pinot Noir
18014,Châteauneuf-Du-Pape Cuvée Des Générations Gaston-Philippe
18017,Châteauneuf-du-Pape
