id,name,is_natural,region_id,winery_id,ratings_average,ratings_count,url,acidity,fizziness,intensity,sweetness,tannin,user_structure_count
1213,Vin Santo di Montepulciano,0,2693,1574,4.6,773,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10AVVS92H,4.492628,,3.9921334,4.952543,,0.0
1268,St. Henri Shiraz,0,7,1305,4.4,17326,https://www.wijnig.nl/penfolds-st-henri-shiraz-2018.html,3.0152445,,4.612774,2.092192,3.1030886,1309.0
1471,Siepi,0,394,1620,4.4,8129,https://www.topwijnen.be/nl/product/wijnen/italie/toscane/igt-toscane/wn6010264/wn6010264,3.156144,,3.4918664,1.807986,2.9856336,755.0
1647,Solare Toscana,0,394,4772,4.2,4961,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2001658,3.1583757,,3.3216164,1.7018968,3.0380645,485.0
1651,Tenuta Tignanello 'Solaia',0,394,1252,4.6,33143,http://www.vivino.com/wines/159347388,3.0641637,,3.4507132,1.8885487,2.9705827,2131.0
1652,Tignanello,0,394,1252,4.5,142513,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10ANTI89B,3.082814,,3.4132028,1.7224381,2.9867094,8219.0
1658,Tenuta Guado al Tasso Bolgheri Superiore,0,3345,1252,4.5,33392,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10TBGT98M,3.4173176,,3.9344313,1.733469,3.8648884,791.0
1675,Pian delle Vigne Brunello di Montalcino,0,1796,1252,4.3,31363,https://www.wereldwijnonline.be/pian-delle-vigne-brunello-di-montalcino-2013-tosca.html,3.7869322,,3.2263973,1.6081825,3.439114,1176.0
1688,Castello della Sala Cervaro della Sala,0,488,1252,4.4,30203,https://www.seulementproduitsitaliens.be/vino/antinori-tenuta-castello-della-sala/143-antinori-castello-della-sala-cervaro-della-sala.html?codice=ANT009-2021,3.8587165,,3.276715,2.3621032,,1089.0
1690,Castello della Sala Muffato della Sala,0,488,1252,4.3,6356,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=20ANMU18B,,,,,,
1697,Chardonnay,0,25,1300,4.3,18694,https://www.grandcruwijnen.nl/2019-chateau-montelena-chardonnay,2.992915,,4.628558,2.2345717,,316.0
1835,Amarone della Valpolicella Classico,0,3237,1933,4.4,18720,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=20BEAM00B,2.3302438,,4.6465397,3.125688,2.3217719,518.0
1868,Nicolás Catena Zapata,0,454,1437,4.4,28227,http://www.vivino.com/wines/159644551,3.0623786,,4.2854166,1.8266736,3.220787,771.0
1869,Malbec Argentino,0,454,1437,4.4,47435,https://www.grandcruwijnen.nl/2020-bodegas-catena-zapata-argentino-malbec,2.6859064,,3.9999688,2.0987563,2.6157,5360.0
2187,Alàuda,0,394,1233,4.5,670,https://www.wereldwijnonline.be/alauda-igt-toscana-2015-italie-rode-wijn.html,3.071004,,3.6696966,2.1122599,3.036426,67.0
2218,Rioja 150 Aniversario,0,492,1837,4.2,4642,https://www.seulementproduitsitaliens.be/vino/marques-de-riscal/29544-marques-de-riscal-rioja-150-aniversario.html?codice=MRG594,3.7774308,,3.9782228,1.5425923,3.6425138,194.0
2997,Puligny-Montrachet 1er Cru 'La Garenne',0,4053,1308,4.4,442,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/louis-jadot/17276-louis-jadot-puligny-montrachet-1er-cru-la-garenne.html?codice=GAI118,3.2488666,,3.7077448,1.7384791,,23.0
3715,Monte Bello,0,86,363,4.5,11978,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=80RIMO17B,3.931059,,4.657183,1.7522715,4.025771,93.0
3879,Cabernet Sauvignon (Signature),0,25,1418,4.6,13730,https://artevino.be/product/darioush-signature-cabernet-sauvignon-2010-13/,3.4052458,,4.736395,1.5901945,3.4223385,811.0
3882,Merlot (Signature),0,25,1418,4.3,2312,https://artevino.be/product/darioush-signature-merlot-2014/,1.8657606,,3.9385853,1.9690887,2.379254,68.0
3908,Pauillac (Premier Grand Cru Classé),0,393,176722,4.6,39283,https://hermanwines.com/products/lafite-rothschild-pauillac-2019-r-0-75l,4.117049,,3.9883592,1.6689028,4.1171813,1173.0
4086,Almaviva,0,3068,17605,4.6,48075,http://www.vivino.com/wines/162909630,3.0401866,,4.596873,1.8851886,3.53141,1112.0
4793,Mille E Una Notte,0,2810,3149,4.3,15865,https://www.vanoudsdezwaan.nl/donnafugata-mille-e-una-nutte.html,2.466708,,4.592841,2.389165,3.1133888,1014.0
4848,Overture,0,25,1368,4.5,16804,https://www.wijnig.nl/opus-one-overture-nv.html,3.7507076,,4.6210756,1.6481601,3.3019812,321.0
5078,Sassicaia,0,2999,1413,4.6,107646,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10SGSA91B,3.488095,,3.7838812,1.7056901,3.8796737,2210.0
5194,Rutherford,0,105,1473,4.6,16322,https://www.topwijnen.be/nl/product/wijnen/verenigde-staten-van-amerika/north-coast-area/napa-valley/wn74151/wn74151,3.8225102,,4.7117114,1.6017184,3.2889876,402.0
5261,Chateau Buena Vista Cabernet Sauvignon Napa Valley,0,25,2058,4.3,13415,https://theonlinesommelier.nl/product/buena-vista-winery-chateau-buena-vista-cabernet-sauvignon/,3.289551,,4.6980953,1.6918944,3.2363372,1114.0
5278,Relentless,0,25,1320,4.5,6633,https://www.grandcruwijnen.nl/2017-shafer-vineyards-napa-valley-relentless,3.0464847,,4.4787264,1.6779581,3.6433094,115.0
6020,Pavillon Rouge du Château Margaux,0,384,1319,4.4,16401,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/chateau-margaux/26308-chateau-margaux-pavillon-rouge-du-chateau-margaux.html?codice=PLG1341-2020,4.0852337,,3.6614535,1.6214443,3.7311282,416.0
6153,Aphrodite,0,397,1369,4.4,367,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/two-hands/28392-two-hands-aphrodite.html?codice=GHL392,3.537,,4.1051164,1.6931167,3.4953165,16.0
6892,Les Pavots,0,758,1326,4.6,4010,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/peter-michael/28366-peter-michael-les-pavots.html?codice=GHL370,3.7985215,,4.6966395,1.7973351,3.8089683,50.0
6935,Toscana Batar,0,394,2001,4.3,4187,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10QUBA11B,3.8311777,,3.3041599,2.4811895,,221.0
6942,Toscana Camartina,0,394,2001,4.3,3673,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10QUCA04B,3.1647222,,3.4133458,1.8209313,3.0193403,317.0
7073,Papillon,0,25,1204,4.5,30682,https://hermanwines.com/products/papillon-orin-swift-2019-r-1-5l,3.8795583,,4.8676286,1.6881932,3.4377155,537.0
7103,Amarone della Valpolicella Classico,0,3237,1653,4.3,77515,https://www.seulementproduitsitaliens.be/vino/tommasi/4405-amarone-della-valpolicella-tommasi.html?codice=PRA001-2018,2.2436204,,4.763678,3.249773,2.2276826,1605.0
7133,Barolo Bricco Rocche,0,504,1806,4.4,2923,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=00CEBA16M,4.663758,,3.858728,1.5957669,4.3411164,135.0
7134,Barolo Prapò,0,504,1806,4.3,2450,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2202524,4.5526896,,3.755385,1.5506328,4.2461057,144.0
7135,Barolo Brunate,0,504,1806,4.3,4295,https://www.seulementproduitsitaliens.be/vino/ceretto/3040-barolo-bricco-rocche-brunate-2007-ceretto.html?codice=OIP077,4.572561,,3.772506,1.640828,4.3491044,247.0
7273,Corton-Charlemagne Grand Cru,0,2236,1392,4.4,5755,https://www.vino.com/fr/dettaglio/corton-charlemagne-grand-cru-aoc-louis-latour-2020.html?utm_medium=aggregatore&utm_source=vivino&utm_term=louislatourcortoncharlemagnegrandcru2020&utm_country=be&st=be&cr=eur,3.1831756,,3.8093085,1.630509,,269.0
7360,Romanée-Saint-Vivant Grand Cru Les Quatre Journaux,0,2229,1392,4.4,731,https://www.wereldwijnonline.be/maison-louis-latour-romanee-saint-vivant-grand-cru.html,4.1714225,,3.0674205,2.1831164,2.6323903,47.0
7494,Torre Muga,0,492,1467,4.4,8767,https://www.douchywebshop.com/wijnen/rode-wijn/Muga-Torre-Muga-Rioja-2016,3.7799828,,3.9767265,1.7484478,3.914909,697.0
7921,Gran Reserva Ribera del Duero,0,405,3619,4.5,2777,https://joyvino.be/products/arzuaga-gran-reserva-crianza-2016,3.7277484,,3.9356022,1.7389879,3.507639,255.0
7971,Gran Reserva 890,0,492,2268,4.5,11347,https://www.grandcruwijnen.nl/2010-la-rioja-alta-gran-reserva-890,3.7349415,,3.8048408,1.7166057,3.687399,873.0
8023,IX Estate Red,0,25,1456,4.7,2810,https://www.grandcruwijnen.nl/2016-colgin-ix-ix-proprietary-red-estate,3.8290682,,4.7686725,1.8448794,3.6350627,102.0
8162,Lot 1,0,25,628,4.4,226,https://www.wereldwijnonline.be/titus-vineyards-lot-1-napa-valley-usa-rode-wijn.html,3.8397396,,4.742413,1.6270138,3.5317361,21.0
8195,Amarone della Valpolicella Classico,0,3237,1499,4.3,27794,https://www.seulementproduitsitaliens.be/vino/allegrini/111-allegrini-amarone-della-valpolicella-classico.html?codice=ALG004-2018,2.2788243,,4.7703815,3.279088,2.3363032,661.0
8305,Brut Cuvée Champagne Rosé,0,409,1572,4.4,36681,https://www.vino.com/fr/dettaglio/champagne-cuvee-rose-champagne-laurent-perrier.html?utm_medium=aggregatore&utm_source=vivino&utm_term=laurentperriercuveerose&utm_country=be&st=be&cr=eur,4.250294,4.270286,3.850255,,,3451.0
8793,Barolo Bricco Gattera,0,504,2690,4.4,2365,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2203520,4.5690866,,3.750443,1.6829987,4.3506813,131.0
8794,Barolo Enrico VI,0,504,2690,4.4,3107,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2203863,4.4703164,,3.7065382,1.6639124,4.197519,146.0
9220,Grand Vin de Château Palmer (Grand Cru Classé),0,384,1376,4.5,29026,https://www.grandcruwijnen.nl/2017-chateau-palmer,4.143142,,3.7460737,1.696457,3.7986615,894.0
9710,Brunello di Montalcino,0,1796,1446,4.4,25989,https://www.seulementproduitsitaliens.be/vino/casanova-di-neri/7170-casanova-di-neri--brunello-montalcino-.html?codice=PRD096-2018,3.8184934,,3.283987,1.7140387,3.5789404,1225.0
9711,Pietradonice,0,394,1446,4.3,2266,https://www.vanoudsdezwaan.nl/casanova-di-neri-pietradonice-2016-116389333.html,3.1051316,,3.5593164,1.8864819,3.1683702,206.0
9712,Tenuta Nuova Brunello di Montalcino,0,1796,1446,4.5,20934,https://www.seulementproduitsitaliens.be/vino/casanova-di-neri/7173-casanova-di-neri-tenuta-nuova.html?codice=PRD700-2017,3.820147,,3.3786674,1.7909194,3.598853,1127.0
9958,Dominus (Christian Moueix),0,25,1332,4.5,22117,https://www.seulementproduitsitaliens.be/vino/dominus/30311-dominus-dominus-(christian-moueix).html?codice=SGN167,3.8267472,,4.6259265,1.683546,3.5360577,566.0
10021,La Muse,0,26,636,4.5,1948,https://hermanwines.com/products/la-muse-verite-2013-r-0-75l,3.8187344,,4.752971,1.6414376,3.8545506,19.0
10022,La Joie,0,26,636,4.6,2285,https://www.vanoudsdezwaan.nl/verite-la-joie-2014-114380979.html,3.8834448,,4.6995435,1.6734424,3.975856,20.0
10023,Le Désir,0,26,636,4.5,1694,https://www.vanoudsdezwaan.nl/verite-le-desir-2014-114380977.html,3.8459346,,4.750483,1.4755096,3.9275227,19.0
10151,Brunello di Montalcino,0,1796,1269,4.4,9171,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2001584,3.8421304,,3.1612687,1.5376806,3.425511,322.0
10152,Altero Brunello di Montalcino,0,1796,1269,4.4,4620,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2001599,3.8212059,,3.266036,1.5881945,3.517492,182.0
